C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_DAILY,AEMO,PUBLIC,2026/05/21,04:40:00,0000000518641070,,0000000518641068
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,"2026/05/20 05:00:00",4757,0,0,"2026/05/20 05:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,"2026/05/20 05:30:00",4943,0,0,"2026/05/20 05:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,"2026/05/20 06:00:00",5158,0,0,"2026/05/20 06:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,"2026/05/20 06:30:00",5571,0,0,"2026/05/20 06:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,"2026/05/20 07:00:00",6033,0,0,"2026/05/20 07:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,"2026/05/20 07:30:00",6470,0,0,"2026/05/20 07:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,"2026/05/20 08:00:00",6760,0,0,"2026/05/20 08:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,"2026/05/20 08:30:00",6801,0,0,"2026/05/20 08:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,"2026/05/20 09:00:00",6606,0,0,"2026/05/20 09:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,"2026/05/20 09:30:00",6332,0,0,"2026/05/20 09:30:01"
